,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
233,1,1690,46,ELA,Met,17,13,18
234,1,1690,46,ELA,Exceeded,2,1,1
235,1,1690,46,Math,Did Not Yet Meet,1,2,1
236,1,1690,46,Math,Partially Met,2,3,8
237,1,1690,46,Math,Approached,5,9,19
238,1,1690,46,Math,Met,12,12,21
239,1,1690,46,Math,Exceeded,1,1,2
240,1,1690,48,ELA,Did Not Yet Meet,2,2,2
241,1,1690,48,ELA,Partially Met,4,7,2
242,1,1690,48,ELA,Approached,13,15,9
243,1,1690,48,ELA,Met,15,12,12
244,1,1690,48,ELA,Exceeded,3,2,1
245,1,1690,48,Math,Did Not Yet Meet,0,1,1
246,1,1690,48,Math,Partially Met,8,4,6
247,1,1690,48,Math,Approached,16,11,11
248,1,1690,48,Math,Met,13,12,14
249,1,1690,48,Math,Exceeded,1,1,1
250,1,1940,55,ELA,Did Not Yet Meet,4,5,5
251,1,1940,55,ELA,Partially Met,7,7,6
252,1,1940,55,ELA,Approached,10,8,9
253,1,1940,55,ELA,Met,12,12,10
254,1,1940,55,ELA,Exceeded,2,2,1
255,1,1940,55,Math,Did Not Yet Meet,2,2,3
256,1,1940,55,Math,Partially Met,8,8,11
257,1,1940,55,Math,Approached,8,11,12
258,1,1940,55,Math,Met,9,9,12
259,1,1940,55,Math,Exceeded,1,1,2
260,1,1940,120,ELA,Did Not Yet Meet,3,3,5
261,1,1940,120,ELA,Partially Met,6,5,8
262,1,1940,120,ELA,Approached,9,8,7
263,1,1940,120,ELA,Met,12,15,11
264,1,1940,120,ELA,Exceeded,2,3,4
265,1,1940,120,Math,Did Not Yet Meet,2,0,3
266,1,1940,120,Math,Partially Met,15,11,3
267,1,1940,120,Math,Approached,15,11,3
268,1,1940,120,Math,Met,21,10,4
269,1,1940,120,Math,Exceeded,1,1,0
270,1,1960,55,ELA,Did Not Yet Meet,5,7,6
271,1,1960,55,ELA,Partially Met,7,4,6
272,1,1960,55,ELA,Approached,12,10,5
273,1,1960,55,ELA,Met,14,14,5
274,1,1960,55,ELA,Exceeded,2,2,1
275,1,1960,55,Math,Did Not Yet Meet,2,2,5
276,1,1960,55,Math,Partially Met,6,10,8
277,1,1960,55,Math,Approached,14,12,6
278,1,1960,55,Math,Met,13,9,9
279,1,1960,55,Math,Exceeded,3,1,0
280,1,1960,60,ELA,Did Not Yet Meet,2,3,3
281,1,1960,60,ELA,Partially Met,3,3,8
282,1,1960,60,ELA,Approached,6,9,13
283,1,1960,60,ELA,Met,13,11,15
284,1,1960,60,ELA,Exceeded,4,3,4
285,1,1960,60,Math,Did Not Yet Meet,2,2,1
286,1,1960,60,Math,Partially Met,7,7,7
287,1,1960,60,Math,Approached,9,11,14
288,1,1960,60,Math,Met,14,12,9
289,1,1960,60,Math,Exceeded,1,3,1
290,1,2680,20,ELA,Did Not Yet Meet,0,0,0
291,1,2680,20,ELA,Partially Met,1,3,1
292,1,2680,20,ELA,Approached,3,5,6
293,1,2680,20,ELA,Met,11,23,25
294,1,2680,20,ELA,Exceeded,5,8,9
295,1,2680,20,Math,Did Not Yet Meet,0,1,0
296,1,2680,20,Math,Partially Met,4,3,3
297,1,2680,20,Math,Approached,8,10,6
298,1,2680,20,Math,Met,22,18,19
299,1,2680,20,Math,Exceeded,4,2,1
300,1,2680,50,ELA,Did Not Yet Meet,2,1,3
301,1,2680,50,ELA,Partially Met,2,1,0
302,1,2680,50,ELA,Approached,3,10,7
303,1,2680,50,ELA,Met,19,20,19
304,1,2680,50,ELA,Exceeded,8,1,2
305,1,2680,50,Math,Did Not Yet Meet,1,0,0
306,1,2680,50,Math,Partially Met,2,0,1
307,1,2680,50,Math,Approached,7,3,2
308,1,2680,50,Math,Met,32,26,11
309,1,2680,50,Math,Exceeded,7,3,2
310,1,3020,10,ELA,Partially Met,0,1,1
311,1,3020,10,ELA,Approached,2,2,21
312,1,3020,10,ELA,Met,2,8,40
313,1,3020,10,ELA,Exceeded,0,3,21
314,1,3020,10,Math,Partially Met,0,7,4
315,1,3020,10,Math,Approached,3,4,13
316,1,3020,10,Math,Met,7,13,31
317,1,3020,10,Math,Exceeded,4,3,7
318,1,3020,25,ELA,Did Not Yet Meet,0,0,3
319,1,3020,25,ELA,Partially Met,0,5,0
320,1,3020,25,ELA,Approached,5,5,5
321,1,3020,25,ELA,Met,41,23,5
322,1,3020,25,ELA,Exceeded,3,3,3
323,1,3020,25,Math,Partially Met,3,3,5
324,1,3020,25,Math,Approached,8,3,5
325,1,3020,25,Math,Met,28,21,5
326,1,3020,25,Math,Exceeded,10,5,5
327,1,3480,20,ELA,Did Not Yet Meet,7,4,4
328,1,3480,20,ELA,Partially Met,10,10,4
329,1,3480,20,ELA,Approached,12,10,6
330,1,3480,20,ELA,Met,7,10,12
331,1,3480,20,Math,Partially Met,4,4,1
332,1,3480,20,Math,Approached,19,16,9
333,1,3480,20,Math,Met,12,16,10
334,1,3480,20,Math,Exceeded,4,0,1
335,1,3480,25,ELA,Did Not Yet Meet,4,1,2
336,1,3480,25,ELA,Partially Met,9,4,3
337,1,3480,25,ELA,Approached,19,10,2
338,1,3480,25,ELA,Met,16,16,6
339,1,3480,25,ELA,Exceeded,4,1,2
340,1,3480,25,Math,Did Not Yet Meet,3,2,2
341,1,3480,25,Math,Partially Met,16,7,12
342,1,3480,25,Math,Approached,15,14,12
343,1,3480,25,Math,Met,9,3,4
344,1,3480,25,Math,Exceeded,1,1,0
345,1,3720,56,ELA,Did Not Yet Meet,1,2,1
346,1,3720,56,ELA,Partially Met,3,6,7
347,1,3720,56,ELA,Approached,17,8,6
348,1,3720,56,ELA,Met,18,13,10
349,1,3720,56,ELA,Exceeded,3,3,2
350,1,3720,56,Math,Did Not Yet Meet,1,0,1
351,1,3720,56,Math,Partially Met,9,4,4
352,1,3720,56,Math,Approached,9,9,11
353,1,3720,56,Math,Met,15,19,12
354,1,3720,56,Math,Exceeded,1,1,3
355,1,3720,57,ELA,Did Not Yet Meet,1,0,4
356,1,3720,57,ELA,Partially Met,8,8,1
357,1,3720,57,ELA,Approached,15,5,4
358,1,3720,57,ELA,Met,22,13,16
359,1,3720,57,ELA,Exceeded,1,0,3
360,1,3720,57,Math,Did Not Yet Meet,0,0,1
361,1,3720,57,Math,Partially Met,3,4,4
362,1,3720,57,Math,Approached,14,8,5
363,1,3720,57,Math,Met,18,14,12
