COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
03,0300,040,ELA,Exceeded,1,0,1
03,0300,040,Math,Did Not Yet Meet,1,0,2
03,0300,040,Math,Partially Met,2,2,8
03,0300,040,Math,Approached,15,10,9
03,0300,040,Math,Met,13,20,8
03,0300,040,Math,Exceeded,1,1,6
03,0300,050,ELA,Did Not Yet Meet,0,4,2
03,0300,050,ELA,Partially Met,2,2,4
03,0300,050,ELA,Approached,11,2,15
03,0300,050,ELA,Met,17,15,15
03,0300,050,ELA,Exceeded,6,4,4
03,0300,050,Math,Did Not Yet Meet,0,0,4
03,0300,050,Math,Partially Met,6,4,4
03,0300,050,Math,Approached,6,13,4
03,0300,050,Math,Met,26,15,13
03,0300,050,Math,Exceeded,4,2,0
03,0300,060,ELA,Did Not Yet Meet,0,1,0
03,0300,060,ELA,Partially Met,0,3,11
03,0300,060,ELA,Approached,5,9,18
03,0300,060,ELA,Met,8,13,28
03,0300,060,ELA,Exceeded,1,0,4
03,0300,060,Math,Did Not Yet Meet,0,1,1
03,0300,060,Math,Partially Met,1,5,23
03,0300,060,Math,Approached,4,11,23
03,0300,060,Math,Met,6,4,21
03,0300,070,ELA,Did Not Yet Meet,3,3,0
03,0300,070,ELA,Partially Met,0,6,5
03,0300,070,ELA,Approached,9,3,6
03,0300,070,ELA,Met,17,15,20
03,0300,070,ELA,Exceeded,3,1,7
03,0300,070,Math,Did Not Yet Meet,6,0,1
03,0300,070,Math,Partially Met,1,3,7
03,0300,070,Math,Approached,3,3,19
03,0300,070,Math,Met,14,14,20
03,0300,070,Math,Exceeded,2,6,0
03,0300,075,ELA,Did Not Yet Meet,1,2,3
03,0300,075,ELA,Partially Met,4,4,5
03,0300,075,ELA,Approached,8,11,10
03,0300,075,ELA,Met,12,15,16
03,0300,075,ELA,Exceeded,2,3,5
03,0300,075,Math,Did Not Yet Meet,1,1,1
03,0300,075,Math,Partially Met,11,9,7
03,0300,075,Math,Approached,11,11,12
03,0300,075,Math,Met,9,13,13
03,0300,080,ELA,Did Not Yet Meet,0,2,0
03,0300,080,ELA,Partially Met,6,7,2
03,0300,080,ELA,Approached,7,8,12
03,0300,080,ELA,Met,15,14,12
03,0300,080,ELA,Exceeded,5,2,5
03,0300,080,Math,Did Not Yet Meet,1,0,0
03,0300,080,Math,Partially Met,6,5,7
03,0300,080,Math,Approached,6,13,12
03,0300,080,Math,Met,10,16,14
03,0300,080,Math,Exceeded,4,1,2
03,0440,020,ELA,Did Not Yet Meet,1,4,1
03,0440,020,ELA,Partially Met,4,1,8
03,0440,020,ELA,Approached,3,13,9
03,0440,020,ELA,Met,14,6,18
03,0440,020,ELA,Exceeded,1,5,10
03,0440,030,ELA,Did Not Yet Meet,2,1,5
03,0440,030,ELA,Partially Met,3,3,7
03,0440,030,ELA,Approached,1,8,17
03,0440,030,ELA,Met,3,16,28
03,0440,030,ELA,Exceeded,1,3,2
03,0440,030,Math,Did Not Yet Meet,1,0,2
03,0440,030,Math,Partially Met,3,5,5
03,0440,030,Math,Approached,3,6,16
03,0440,030,Math,Met,7,15,24
03,0440,030,Math,Exceeded,3,4,8
03,0440,050,ELA,Did Not Yet Meet,2,2,2
03,0440,050,ELA,Partially Met,6,5,6
03,0440,050,ELA,Approached,6,7,13
03,0440,050,ELA,Met,14,14,16
03,0440,050,ELA,Exceeded,1,1,5
03,0440,050,Math,Did Not Yet Meet,0,5,0
03,0440,050,Math,Partially Met,4,1,8
03,0440,050,Math,Approached,13,10,16
03,0440,050,Math,Met,9,7,25
03,0440,050,Math,Exceeded,1,0,3
03,0740,050,ELA,Did Not Yet Meet,2,1,1
03,0740,050,ELA,Partially Met,6,5,5
03,0740,050,ELA,Approached,10,9,9
03,0740,050,ELA,Met,15,13,12
03,0740,050,ELA,Exceeded,5,2,3
03,0740,050,Math,Did Not Yet Meet,1,0,0
03,0740,050,Math,Partially Met,8,8,4
03,0740,050,Math,Approached,16,18,8
03,0740,050,Math,Met,16,10,7
03,0740,050,Math,Exceeded,1,1,2
03,0890,050,ELA,Did Not Yet Meet,0,0,1
03,0890,050,ELA,Partially Met,2,2,11
03,0890,050,ELA,Approached,2,6,22
